protocol_id,task,model,seed,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,0,medium,7276,0.3999999761581421,1.0,0.21484558283326777,0.13957447870672895,10.574103284661295,0.08220182720868906,0.06278130343289347,5.004845596842652,0.10171417910221162,0.07639394257342573,5.977523132517592,0.14763931864804467,0.110823104478554,8.603778713158501,0.224724534567269,0.16862211020488277,13.007470034234474,0.37602090745145283,0.27925193284388883,20.276898946553263,0.9475261132490379,0.7288960218429565
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,0,high,6474,0.3999999761581421,1.0,0.2157285450714089,0.14090352609528042,9.456619011337466,0.08318918471208592,0.064704097832726,4.728572668004472,0.10568794169395158,0.08213154287076048,5.83991617602315,0.1627001491474216,0.1270348493022465,8.606204593776756,0.24049258140506602,0.18390177073838132,11.798570575906492,0.3609648515812908,0.24674536973228783,16.30983104297646,0.9504479456286685,0.7289316654205322
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,1,low,7251,0.3999999761581421,1.0,0.17558267645797251,0.11334659774259705,10.292335044747912,0.06712632782883951,0.05094638661242669,4.71511506030695,0.08341958275792799,0.06290605384355544,5.905819306423751,0.11776348962035668,0.08878806972812742,8.440075287670968,0.17370966912958083,0.1307935500585561,12.354211849224823,0.3140673845670088,0.23329892847031958,20.046453720113067,0.9707626534271135,0.7222179770469666
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,1,medium,7276,0.3999999761581421,1.0,0.20496809871702015,0.1301115970057141,9.7005398693083,0.07137881850847103,0.055017253612344774,4.130465911636733,0.09023455450576369,0.06782717695597963,5.181603893705504,0.1343371853524337,0.0995491485532789,7.6947687833823455,0.2148042534030686,0.15762446537294383,12.23443724769669,0.36419095300593046,0.27053994053402336,19.26142351012022,0.9532985156679494,0.7226564884185791
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,1,high,6474,0.3999999761581421,1.0,0.20563637582105682,0.12962564634694926,8.681492720653097,0.07766058236065382,0.061308941107898134,4.20036283382482,0.09652595203009631,0.07407855384505234,5.157128683701942,0.1418462339525653,0.10526949956271985,7.3178712619834165,0.22354506851638287,0.16290054489404726,10.640763287836057,0.35495128974503254,0.24457069232502873,16.09133753591925,0.952548656163114,0.7228174209594727
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,2,low,7251,0.3999999761581421,1.0,0.17898619061611157,0.11348465320373828,10.294614414315411,0.06415557642968799,0.048394056743234624,4.491875937407399,0.07991249497990385,0.059973927123548904,5.641209519118688,0.11240742880016522,0.08489018454253797,8.100288343587374,0.16967374949651873,0.12812952619801718,12.161705671614802,0.3290193398536397,0.2460355714113527,21.077992599848795,0.9734657288649842,0.7444089651107788
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,2,medium,7276,0.3999999761581421,1.0,0.20591830981018217,0.12676969149598977,9.540223680493007,0.06647499424665616,0.04972282606635269,3.818966953631019,0.08595300090920033,0.06328477498723492,4.934769707659198,0.13039376736919447,0.0950303869368022,7.472914236576485,0.21338122363728113,0.15707753775636202,12.310341373848102,0.3710401961787239,0.26873293173319696,19.16412613075023,0.9562946673996702,0.7451297640800476
SpikeLoRA-TS-R2-corrected-v1,WS,mlp,2,high,6474,0.3999999761581421,1.0,0.1980875228303156,0.12006819830619887,8.196309590022127,0.06488126952309538,0.0496246245565111,3.660266463188295,0.08461424165019446,0.06241901724803289,4.611031914557717,0.13116765807989259,0.09429703321875264,6.736796215467784,0.2161572382461597,0.156524584245122,10.284312142463243,0.34769998318653583,0.23747573226257573,15.689141214433592,0.9637009576768613,0.7452174425125122
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,0,low,7251,0.3999999761581421,1.0,0.16374850509733024,0.10447894879298907,9.569453850255877,0.056777029748724596,0.0429133561015573,4.005350371991183,0.07296389588782937,0.05528052043724086,5.260671607674002,0.10410452407576938,0.07909788522797935,7.599090656620406,0.15969014665183467,0.12118492888805867,11.598871497600927,0.29863323413027476,0.22391805331010914,19.383285117392862,0.9662391394290443,0.6557201743125916
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,0,medium,7276,0.3999999761581421,1.0,0.19682363946907294,0.12370412153913268,9.332790921194917,0.06342125124511055,0.04915621284438464,3.6900679700671817,0.08234615880436814,0.06247207483890097,4.867486141145845,0.12303945211841352,0.08999559288171702,7.0724505920409015,0.2022427913601073,0.14670892946172245,11.659737208219513,0.35616530832634596,0.2701877976689383,19.374212694501136,0.9451072017592084,0.6558092832565308
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,0,high,6474,0.3999999761581421,1.0,0.19753262236908625,0.12401126801212665,8.375228523204461,0.06773967316945147,0.053182462151491756,3.783832964969622,0.08638171245838781,0.06590918223910174,4.808120268154208,0.1323762842400695,0.0983360432201158,6.902901797351557,0.2183492797744996,0.1605684451567821,10.650382997041843,0.3432860794212927,0.24206020729314187,15.730904588505076,0.9440222428174235,0.6559956669807434
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,1,low,7251,0.3999999761581421,1.0,0.16167396874288067,0.10650294817590562,9.89059137161998,0.06325728632902795,0.04791919923029247,4.522064405943237,0.07733764486660744,0.05934591480591037,5.719499995240999,0.10872293275473167,0.0836286192317779,8.075597090646596,0.1610149899002026,0.12201193184248252,11.75139861918697,0.2880334393413227,0.21960907576906485,19.384396747082093,0.970928147841677,0.66997230052948
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,1,medium,7276,0.3999999761581421,1.0,0.20192305795843343,0.12945692892779748,9.807324459631403,0.06774164870193475,0.05136026101265719,3.901037105351922,0.08731353608085116,0.06480958336916122,5.028659406099504,0.1332954900944962,0.09700101042200145,7.639267726836948,0.21742654716744625,0.1605490637864301,12.649322939211324,0.3558230333071992,0.27356472604873744,19.818335120657324,0.9435404068169324,0.6699720025062561
