task,model,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
EC,mlp,low,1425.8484695933255,332.2983042014838,600.373720585966,2251.323218600685,3,1118.1182246857377,297.0371594368678,380.23701514656307,1855.9994342249124,3,4.368734794875227,1.2009238652512078,1.3854745323006994,7.351995057449754,3,0.9129146353121117,0.09865656037015039,0.667838153188085,1.1579911174361384,3,6429.783040364583,205.10101500402146,5920.283874281137,6939.282206448029,3
EC,mlp,medium,2185.645715090792,97.60330459083349,1943.1856653682528,2428.1057648133306,3,1603.3420003091842,101.3745827158342,1351.5135763749481,1855.1704242434203,3,5.4671328120260485,0.3666593976647386,4.556300374930698,6.377965249121399,3,0.8472803747251696,0.038770646517682014,0.7509687496028477,0.9435919998474915,3,6429.783040364583,205.10101500402146,5920.283874281137,6939.282206448029,3
EC,patchtst,high,1229.2331374403009,19.37592857189831,1181.100662575264,1277.3656123053377,3,749.428330883056,22.92762872527473,692.4729437262966,806.3837180398153,3,2.4709563606732297,0.09258422503002467,2.2409643957658165,2.700948325580643,3,0.9506406578695735,0.0017565060245867063,0.9462772550130351,0.955004060726112,3,4397.233235677083,181.05048946403824,3947.478887074183,4846.987584279983,3
EC,patchtst,low,900.973399502368,10.376653573943457,875.1963630378857,926.7504359668503,3,556.5779306023563,10.760959124011144,529.8462262281278,583.3096349765849,3,2.0897609771467995,0.0405246276354055,1.9890922213842965,2.1904297329093025,3,0.9824682152757863,0.004914008907578723,0.9702611404327443,0.9946752901188284,3,4397.233072916667,181.05049759895545,3947.478704105513,4846.9874417278215,3
EC,patchtst,medium,1104.3405582377166,44.423509372163956,993.9864433193974,1214.6946731560356,3,702.6134247890976,46.052308089812136,588.2131495514682,817.0137000267271,3,2.4480915752584855,0.16552394546582705,2.036907300134215,2.859275850382756,3,0.9540579294522512,0.0021681741521578225,0.9486718862753004,0.959443972629202,3,4397.233072916667,181.05049759895545,3947.478704105513,4846.9874417278215,3
EC,snn_tcn,high,5784.008489408411,162.51962524171861,5380.28735945093,6187.729619365892,3,4477.510230281244,94.66741576484478,4242.34333270876,4712.677127853728,3,14.172706503810092,0.23405777178341403,13.591274766201867,14.754138241418318,3,0.8521897112258557,0.011780393062501362,0.8229255925604168,0.8814538298912947,3,16352.02734375,244.39526276352066,15744.915854953531,16959.13883254647,3
EC,snn_tcn,low,4590.896733141667,202.3108719602361,4088.32866661438,5093.464799668954,3,3751.8968661501654,173.88485237507095,3319.9429468684657,4183.850785431865,3,13.0883504023699,0.5524782358720781,11.715918381735783,14.460782423004016,3,0.9325303508268808,0.018416988359513102,0.8867800155067145,0.9782806861470472,3,16352.027018229166,244.39528113758504,15744.915483788991,16959.13855266934,3
EC,snn_tcn,medium,6292.380226405271,307.81055567287945,5527.736416992922,7057.02403581762,3,5057.47065006333,271.94261854097437,4381.927735921932,5733.013564204728,3,16.588676347173045,0.7578495689246688,14.706073653196874,18.471279041149216,3,0.812025618965682,0.027155840074252393,0.7445667725438068,0.8794844653875573,3,16352.027669270834,244.39489893438864,15744.917084276032,16959.138254265636,3
EC,tcn,high,2110.1870724668784,266.3363836607568,1448.570817812187,2771.80332712157,3,1342.1427743712948,186.6793200601636,878.4056354116792,1805.8799133309103,3,4.39752109636433,0.6133423265054265,2.8738942928983975,5.921147899830263,3,0.9316695352839931,0.010212761145543599,0.9062996301815641,0.9570394403864221,3,6690.166178385417,741.5498110242713,4848.054327701522,8532.278029069312,3
EC,tcn,low,1408.5281612997715,189.87952193341195,936.8412801817042,1880.2150424178387,3,981.9429586305683,122.05073652997034,678.7521212733227,1285.133795987814,3,3.7363675663512423,0.4852561665417299,2.530924423200471,4.941810709502014,3,0.9658158875824491,0.009367992679300151,0.9425445036846869,0.9890872714802112,3,6690.16650390625,741.5497317419376,4848.05485017059,8532.27815764191,3
EC,tcn,medium,2050.002997970684,120.5760897361859,1750.4753863253447,2349.530609616024,3,1396.5730378011183,92.33180128428694,1167.208128239826,1625.9379473624106,3,4.845472044513964,0.30141011367192394,4.0967278144478625,5.594216274580066,3,0.8960137654143964,0.013890669027134334,0.8615074306430773,0.9305201001857154,3,6690.16650390625,741.5497317419376,4848.05485017059,8532.27815764191,3
