task,model,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
SR,mlp,55.53551433792172,1.2760607666430182,52.36560366505804,58.7054250107854,3,31.68651449215813,0.6007264434309705,30.194227279604096,33.17880170471216,3,110.51009106166767,0.2480908928638504,109.8937991187704,111.12638300456493,3,0.8850118248337381,0.0013144071455527962,0.8817466564749168,0.8882769931925594,3,283.6332319845353,4.883166487753467,271.50277395970187,295.76369000936876,3,32.669019400000025,3.756351202466012,23.337725719491143,42.0003130805089,3,1.0,0.0,1.0,1.0,3
SR,patchtst,51.770709330537564,1.48023551637082,48.09360046209415,55.447818198980976,3,24.983062111149007,2.953485399902275,17.646197648238683,32.31992657405933,3,108.59430387123528,0.4296337872394483,107.52703437812488,109.66157336434568,3,0.8860720918051522,0.0005571773716036538,0.8846879864842349,0.8874561971260696,3,283.97108726307107,2.184296625604658,278.5449936418248,289.3971808843173,3,505.6120278219999,31.47580844565474,427.4217850552884,583.8022705887114,3,1.0,0.0,1.0,1.0,3
SR,snn_tcn,61.90246478400436,1.8057438977508442,57.41674826989404,66.38818129811467,3,33.67084752543852,2.8173892655719475,26.67206460223741,40.66963044863963,3,110.19741765486043,0.5130748438409836,108.92286908634043,111.47196622338043,3,0.8860466961890703,0.0002447212211762303,0.8854387749746884,0.8866546174034522,3,330.5362260735561,11.21055646124282,302.68765999882163,358.3847921482906,3,583.7098566563333,155.10663723125003,198.4036097721821,969.0161035404844,3,1.0,0.0,1.0,1.0,3
SR,tcn,50.16936427430151,0.8762544123027242,47.992627643639665,52.34610090496335,3,23.866713720569635,1.781916467473529,19.440187824584566,28.293239616554704,3,108.49449824954043,0.47797509653241954,107.30714228698146,109.6818542120994,3,0.8864085837182355,0.00014763761667517143,0.8860418315469843,0.8867753358894866,3,282.7604843686759,4.076209642109185,272.6346182758377,292.88635046151416,3,95.01656941500005,5.765148498088944,80.695146617234,109.3379922127661,3,1.0,0.0,1.0,1.0,3
WP,gru,580.9766852837265,20.002815636342802,531.2869366209139,630.6664339465391,3,400.57980470971984,11.196865947768956,372.76524775579855,428.3943616636411,3,68.98117117850165,0.6446420550448237,67.37979153900442,70.5825508179989,3,0.9452270141689937,0.004365786975802791,0.9343817981010679,0.9560722302369195,3,1823.135406481726,21.735284226482072,1769.141967259779,1877.128845703673,3,27.281083376000122,0.02691117649813058,27.214232307594376,27.34793444440587,3,1.0,0.0,1.0,1.0,3
WP,itransformer,550.7406333720888,4.4786569786695996,539.6150326735197,561.8662340706579,3,332.2465356494129,2.7065700456532973,325.5230429295951,338.97002836923076,3,69.27226070220753,0.7483034762899339,67.41337181694487,71.13114958747019,3,0.9546040610887028,0.0008017363731595683,0.9526124375292798,0.9565956846481257,3,1850.8539494844456,14.100516569486459,1815.826324519458,1885.8815744494332,3,34.87157865499952,1.6742760258882186,30.712446439262663,39.03071087073637,3,1.0,0.0,1.0,1.0,3
WP,lstm,636.3312592342876,27.918938181725245,566.9767720258972,705.685746442678,3,412.2709937560364,15.271815678588526,374.3337005024248,450.20828700964796,3,70.6111656272882,0.723766167869437,68.813230795217,72.40910045935941,3,0.9396007860171682,0.0005565673408656814,0.9382181960966123,0.9409833759377242,3,1947.9787669041734,42.325654232185244,1842.8360130528001,2053.121520755547,3,36.85878045299978,1.8602087613022937,32.23776571737765,41.479795188621914,3,1.0,0.0,1.0,1.0,3
WP,mlp,677.3329790842851,22.395093422767268,621.7004829553065,732.9654752132636,3,458.1863091548012,18.944480803697804,411.1256099613885,505.24700834821397,3,74.38437157436064,2.7771467155801326,67.48555668720996,81.28318646151132,3,0.9348984727824319,0.011886867934707297,0.9053698558715957,0.9644270896932681,3,2008.0527009804143,15.507087323828507,1969.5309605603638,2046.5744414004648,3,11.692893562666844,0.8755360746234686,9.517941381723787,13.867845743609902,3,1.0,0.0,1.0,1.0,3
WP,patchtst,532.6139403051175,5.856578662734714,518.0653923873662,547.1624882228688,3,319.8790519217512,5.60045748724654,305.9667442748,333.79135956870243,3,67.47656796811202,0.5459788073079832,66.1202814230786,68.83285451314545,3,0.9558313510531941,0.0010847785814631914,0.9531366116701158,0.9585260904362723,3,1807.8134622555244,16.654069043680007,1766.442461290538,1849.184463220511,3,97.00213412100008,25.67360740150877,33.22535777903009,160.7789104629701,3,1.0,0.0,1.0,1.0,3
WP,snn_tcn,989.810848393052,43.47971568023261,881.8012469769425,1097.8204498091613,3,704.8537648791367,37.60140757806197,611.4466903007359,798.2608394575376,3,82.88833405946559,0.567487194381551,81.47861771898447,84.29805039994672,3,0.9526252283931465,0.00440016461468396,0.9416946135360361,0.9635558432502568,3,3486.4663080550868,203.88512945958217,2979.987569105717,3992.9450470044567,3,253.3948552606671,62.33576782849878,98.54422360889927,408.2454869124349,3,1.0,0.0,1.0,1.0,3
WP,tcn,651.5854909527519,32.443743110827995,570.9907651818029,732.1802167237009,3,436.62723816866946,30.73918433893124,360.2668711248315,512.9876052125074,3,72.02472191203812,1.5969025815129363,68.05779598735954,75.9916478367167,3,0.9411728203537079,0.004820724639818412,0.9291974764781193,0.9531481642292964,3,1972.3227581574802,81.32741267378084,1770.294265337963,2174.351250976997,3,38.35736704800062,2.2346057208403227,32.806298706036934,43.9084353899643,3,1.0,0.0,1.0,1.0,3
WS,gru,0.1872060138868068,0.007114434721858003,0.16953277829667238,0.20487924947694122,3,0.11588692110197814,0.0026554044176861713,0.10929053084813724,0.12248331135581904,3,9.032314321548107,0.16307789795174596,8.627206365298223,9.43742227779799,3,0.9513769185594336,0.0009106805163560459,0.9491146627454253,0.9536391743734419,3,0.6379664073234047,0.012813466240341647,0.6061359926179267,0.6697968220288827,3,68.98925068966673,7.0546064293975155,51.46463681706119,86.51386456227227,3,1.0,0.0,1.0,1.0,3
WS,itransformer,0.20973884558305667,0.003941148443329834,0.19994849010749624,0.2195292010586171,3,0.12941675343203254,0.004684329740766277,0.1177802332688656,0.1410532735951995,3,10.29388095623806,0.4147059432568895,9.263694283319396,11.324067629156726,3,0.9514308842436076,0.008159159942142806,0.9311624073353791,0.971699361151836,3,0.7260888493519149,0.005957955655914283,0.7112884670223054,0.7408892316815243,3,118.21589196066664,32.59058790075567,37.256383509288725,199.17540041204455,3,1.0,0.0,1.0,1.0,3
WS,lstm,0.19010118581732083,0.005819187069884115,0.17564552376547093,0.20455684786917072,3,0.12017400099046964,0.004172155959181751,0.10980979103309083,0.13053821094784845,3,9.363670470154943,0.32313465267646474,8.56095949347794,10.166381446831947,3,0.951138834658667,0.0008189163328561711,0.9491045337134759,0.9531731356038581,3,0.6565763479363073,0.013040296700845524,0.6241824551297249,0.6889702407428896,3,79.45659138466665,8.924748257292391,57.286287671123326,101.62689509820999,3,1.0,0.0,1.0,1.0,3
WS,mlp,0.19740923229506668,0.0041298324312383115,0.18715015980954516,0.2076683047805882,3,0.12544365895278278,0.006062561484620535,0.11038342133921847,0.1405038965663471,3,9.74822710315214,0.46120723167564964,8.602524826028885,10.893929380275393,3,0.9598177864546132,0.004373121909297938,0.9489543494017793,0.9706812235074472,3,0.7320484741964773,0.0115504370154125,0.7033555980196498,0.7607413503733049,3,68.16991304766695,27.414413609597045,0.06873435538938111,136.27109173994452,3,1.0,0.0,1.0,1.0,3
WS,patchtst,0.230097094730937,0.006560958653406057,0.21379876991497834,0.24639541954689567,3,0.14252867581376857,0.005921537651593796,0.12781876082207724,0.1572385908054599,3,11.131245464700092,0.2823846255437304,10.429763167177109,11.832727762223074,3,0.9435899877783598,0.0069632623309800155,0.9262922852253762,0.9608876903313434,3,0.7597555398585322,0.02238009139703038,0.7041603108274388,0.8153507688896255,3,242.5839815039999,46.54369830794699,126.96302529433156,358.20493771366824,3,1.0,0.0,1.0,1.0,3
WS,snn_tcn,0.48993714936566674,0.014050403594412883,0.45503401193190585,0.5248402867994276,3,0.34758643044946025,0.01988933890724116,0.29817857360881167,0.3969942872901088,3,24.56268376852059,1.2970264082474077,21.340691554697052,27.784675982344126,3,0.9152675269431615,0.01236283233700898,0.8845565489111316,0.9459785049751914,3,1.6514513973748668,0.109915901037601,1.3784051624897287,1.924497632260005,3,452.3527258593331,125.87043404891237,139.6732338479219,765.0322178707443,3,1.0,0.0,1.0,1.0,3
WS,tcn,0.19807988063398863,0.005389622978185476,0.18469131494192786,0.2114684463260494,3,0.12256150486117218,0.0016871812975831999,0.11837031417333783,0.12675269554900653,3,9.453323971458643,0.07416918871020192,9.269077492735986,9.637570450181299,3,0.9499992063869974,0.003027923056834868,0.9424774285333288,0.957520984240666,3,0.6820208610259296,0.018521168020025035,0.6360117290822914,0.7280299929695678,3,110.11699396099993,26.4640120524712,44.37674361805564,175.85724430394424,3,1.0,0.0,1.0,1.0,3
