task,mode,fraction,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
WP,fullft,0.5,982.7110232679523,34.93878357398576,895.9182733902069,1069.5037731456978,3,720.339191040582,9.789683593951723,696.0202688390444,744.6581132421196,3,83.81932917707587,0.9754476111359408,81.39618298044634,86.2424753737054,3,0.9409108146309512,0.007911966707619223,0.9212563997586847,0.9605652295032177,3,3337.8436348085834,135.21270095706151,3001.9566652576896,3673.730604359477,3,21.435584389666474,2.7821296811236436,14.524391129892956,28.346777649439993,3,1.0,0.0,1.0,1.0,3
WP,lora,0.1,966.8915332151764,28.850609143137962,895.2226470366267,1038.560419393726,3,707.7546112257286,15.744771037322757,668.6424317295255,746.8667907219317,3,84.28311830161093,0.44276279773323063,83.18323453841535,85.3830020648065,3,0.9525355948564139,0.015648549711709273,0.9136624423838389,0.991408747328989,3,3410.22163577173,143.0993344320134,3054.743182587198,3765.7000889562614,3,5.417866430666133,0.41084868262178464,4.397261724355063,6.438471136977203,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WP,lora,0.2,998.3081245081895,14.420045041143789,962.4867468167898,1034.1295021995893,3,775.7674563833561,20.395842925745665,725.101373809203,826.4335389575093,3,84.18755573428552,0.2205762125018185,83.63961404650149,84.73549742206956,3,0.952687282380115,0.012194662510374248,0.9223940613564018,0.9829805034038283,3,3552.88079391439,154.72999436304775,3168.5101797829902,3937.2514080457895,3,9.299023106667542,0.5136103196696524,8.023144342447827,10.574901870887258,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WP,lora,0.5,989.6050023191023,38.37549524859242,894.2749873661596,1084.935017272045,3,722.0207925174009,24.218893819789002,661.8577250435316,782.1838599912702,3,83.62306438885568,0.7010790676027595,81.88148743812648,85.36464133958488,3,0.9368152514910193,0.012858763589829602,0.9048723119314374,0.9687581910506012,3,3290.373947048762,69.6514973976264,3117.3500356855825,3463.397858411942,3,31.203182535333326,4.9482865366461395,18.910957341256548,43.495407729410104,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WP,spikelora,0.1,970.8951773657355,41.224955010266044,868.486711960792,1073.303642770679,3,709.2620619726489,22.383880532937745,653.6574202061532,764.8667037391446,3,84.33847216035113,0.8575046132025925,82.20831261272109,86.46863170798117,3,0.9533629813493295,0.015972006384936697,0.9136863179566829,0.9930396447419761,3,3428.4729761809417,295.48237280352976,2694.4540707513197,4162.491881610564,3,7.476966006332077,0.8682975959993203,5.319995203114743,9.633936809549411,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WP,spikelora,0.2,975.2492628043141,40.40901165140255,874.8677130677505,1075.6308125408777,3,725.5412915770466,51.25429823451728,598.2185564449617,852.8640267091316,3,84.44667342460461,0.32638011281775264,83.63590027799876,85.25744657121047,3,0.9437721929189506,0.008497704719234764,0.9226627241628425,0.9648816616750588,3,3317.9564396472797,107.85519599721505,3050.0292798656947,3585.8835994288647,3,13.567360474667415,1.5129482592888284,9.808988647887595,17.325732301447236,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WP,spikelora,0.5,1015.4086243133514,9.078454921317794,992.85649207916,1037.9607565475428,3,741.5815681373616,12.393253427797042,710.7950199264734,772.3681163482498,3,83.77753999953849,0.5638122414265616,82.37695274828164,85.17812725079534,3,0.9381114903299204,0.011114941359917925,0.9105004453341969,0.9657225353256438,3,3307.40772072654,139.34131156631952,2961.264713864183,3653.550727588897,3,32.303134046333675,21.970353682456402,-22.27425007607267,86.88051816874002,3,0.0146321565324947,0.0,0.0146321565324947,0.0146321565324947,3
WS,fullft,0.1,0.7085236900008461,0.02665424828743332,0.6423108666524969,0.7747365133491954,3,0.5542539648761232,0.021756481313496362,0.5002078691709453,0.6083000605813011,3,37.03921436699829,1.0616600482927205,34.401904604008344,39.67652412998823,3,0.8676697935018968,0.008336833842513023,0.8469599501573704,0.8883796368464232,3,2.099376405681816,0.041090598245468395,1.997301700983131,2.2014511103805012,3,14.558938266000647,1.5713855299126362,10.655400211494264,18.46247632050703,3,1.0,0.0,1.0,1.0,3
WS,fullft,0.2,0.6939194451978032,0.09564473518823145,0.45632475158928804,0.9315141388063184,3,0.5378257299357706,0.06437117545328758,0.37791886544454345,0.6977325944269978,3,35.96270645078809,3.2436680035032976,27.904988438987502,44.02042446258868,3,0.8807517102360204,0.03319457422543924,0.7982918165781332,0.9632116038939076,3,2.105356521920197,0.16628767634897051,1.6922750341075048,2.518438009732889,3,27.933615542000553,11.262225261763518,-0.04330294862673867,55.910534032627844,3,1.0,0.0,1.0,1.0,3
WS,fullft,0.5,0.6278264343954746,0.03331368622183965,0.5450706501354109,0.7105822186555383,3,0.4924473629085522,0.02467076688649392,0.43116178050877085,0.5537329453083335,3,33.68800908187765,1.3845652703833007,30.248558279381324,37.12745988437398,3,0.8626255892576543,0.02637778286926213,0.7970995440805705,0.9281516344347381,3,1.8465422112381713,0.020934442523838366,1.7945381730908792,1.8985462493854635,3,46.06586364400088,6.091201912054142,30.934479264568978,61.19724802343278,3,1.0,0.0,1.0,1.0,3
