protocol_id,task,mode,seed,fraction,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,WS,spikelora,2,0.1,high,6474,0.3999999761581421,1.0,0.5431114103596589,0.40474101178322747,24.75671967464794,0.5149560329087651,0.38317557008390923,23.932706668020685,0.5112033881360611,0.3784691999641362,23.455765032621002,0.5095043621227281,0.3768676296590028,22.983472586545183,0.5131614036882164,0.3835545654167244,22.845945312952175,0.6522362142552489,0.5016380937923647,30.565708773100646,0.9100401606425703,1.834735631942749
SpikeLoRA-TS-R2-corrected-v1,WS,fullft,2,0.2,low,7295,0.3999999761581421,1.0,0.559500927867271,0.4484092826088297,35.848360440523095,0.5455524568482362,0.4321916687725504,34.20920166065488,0.5539324264344242,0.4403623669828921,34.9706062222964,0.5653430543816896,0.45159993059754455,36.11418023779193,0.5718834389215898,0.4597516070415583,37.13678085042444,0.5604234009591398,0.45814083964960306,36.811033231447816,0.9352707333790268,1.9868413209915161
SpikeLoRA-TS-R2-corrected-v1,WS,fullft,2,0.2,medium,7232,0.3999999761581421,1.0,0.5869065240873299,0.47160497660361295,31.739515848721783,0.5390715654036835,0.4244878701865673,28.833719539861573,0.553067881586119,0.439116458787657,29.728210716288157,0.5898782996917161,0.4763851844812785,32.001988733264284,0.6579386682860253,0.5447774953991834,36.337766700451795,0.5873452188783392,0.47325787416337867,31.79589355374309,0.9254148230088496,1.9892354011535645
SpikeLoRA-TS-R2-corrected-v1,WS,fullft,2,0.2,high,6474,0.3999999761581421,1.0,0.6326591081114098,0.491024820039329,29.611858445992382,0.5534039737392087,0.4176580448061513,25.526986910306277,0.5465483907665275,0.41093381941042306,24.93660433328393,0.5436847529568203,0.4101242858077554,24.471559818954578,0.5657388664659971,0.4437871302374727,26.04420274249441,0.8835513896507914,0.7726208199348427,47.07993842492275,0.8914735866543095,1.9881300926208496
SpikeLoRA-TS-R2-corrected-v1,WS,lora,2,0.2,low,7295,0.3999999761581421,1.0,0.9723483572260426,0.7410818213269349,49.77966143674018,1.003937171220679,0.7549537603948278,49.387967470760266,1.0133571119877491,0.7612223826507087,49.88277314154829,1.0166801437854518,0.7691245760306501,50.836531622976764,1.006468748037914,0.7706811253218883,51.743877074846736,0.8036829619206669,0.6494272622365997,47.047157873568786,0.7657299520219328,2.3521668910980225
SpikeLoRA-TS-R2-corrected-v1,WS,lora,2,0.2,medium,7232,0.3999999761581421,1.0,0.7875439945900388,0.6312060897081958,40.23860341246947,0.7591119533781404,0.5959248434653325,37.9079383902281,0.774312181445571,0.6108821874352551,38.769978825614714,0.8140210366737707,0.6527301895193163,41.249430336687986,0.8626686735654541,0.7074532470278507,44.931779680678716,0.7200624392918852,0.5890399810932248,38.33388982913786,0.8737831858407079,2.36313796043396
SpikeLoRA-TS-R2-corrected-v1,WS,lora,2,0.2,high,6474,0.3999999761581421,1.0,0.7506851354220871,0.5984019117643334,36.03780670711699,0.6459759135058435,0.5151607622914672,31.889211882117003,0.6375988022276325,0.5025788334957567,30.84354007439538,0.6209185432275282,0.48161975589658806,29.028513078663842,0.6115266985969616,0.4768436226739462,27.991689195653052,1.1109991038996707,1.015806584463909,60.43607930475569,0.8722582638245289,2.366685628890991
SpikeLoRA-TS-R2-corrected-v1,WS,spikelora,2,0.2,low,7295,0.3999999761581421,1.0,0.5908405101622042,0.4748691787141247,37.65902380751286,0.6044404831572252,0.48969816882942047,38.04590101847546,0.6066046076982617,0.49131251276969257,38.40716730942166,0.6004739906585023,0.4828127362043421,38.24239724525584,0.5884457167301099,0.47075943635537904,37.914018960191356,0.5525465767591065,0.4397630394117893,35.68563450422001,0.9378478409869774,2.0657601356506348
SpikeLoRA-TS-R2-corrected-v1,WS,spikelora,2,0.2,medium,7232,0.3999999761581421,1.0,0.6033538022233677,0.48912050842052013,33.007766167729535,0.5738776761031781,0.4591078046396111,31.116475968982655,0.5849887567051653,0.4709541471922292,31.865724944176904,0.6083863160909982,0.4957508553907407,33.388337689615035,0.6526581130002812,0.5422997067608268,36.41095503333991,0.5937466619814131,0.4774900281191927,32.25733720253315,0.9341814159292036,2.066249132156372
SpikeLoRA-TS-R2-corrected-v1,WS,spikelora,2,0.2,high,6474,0.3999999761581421,1.0,0.589068400364999,0.4580341851376147,27.97940156639056,0.5632181516451316,0.43353172008881496,27.02425571985912,0.5581686095760771,0.4281783560506716,26.38979042490349,0.5542521708705466,0.4249751878292943,25.657895090028077,0.5504466703521513,0.4276387882814534,25.19489966629804,0.7043110198397866,0.575846873437839,35.630166930864085,0.9248069199876429,2.0650460720062256
