task,mode,fraction,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
SR,spikelora,0.2,low,38.37746369280066,3.5848219827504724,29.472272215648978,47.28265516995234,3,19.912832744734835,2.7372844908226037,13.11304111337737,26.7126243760923,3,191.89851322124989,0.09078291248626504,191.67299596476303,192.12403047773674,3,0.9964897260273973,0.0017196854903176648,0.9922177904486023,1.0007616616061923,3,295.27671305338544,32.04145427588361,215.68132814832546,374.8720979584454,3
SR,spikelora,0.2,medium,86.74353563266982,3.047893315460915,79.17214890643544,94.3149223589042,3,52.30763768227192,3.411611932128084,43.83272382392016,60.78255154062367,3,80.43740376973854,1.099978355137599,77.70490605566599,83.16990148381109,3,0.9823554603854389,0.005253080088899653,0.9693060860339202,0.9954048347369575,3,438.0790710449219,42.6962338984222,332.01574626945285,544.1423958203909,3
SR,spikelora,0.5,high,132.83586253519317,18.434306653468195,87.04250618791029,178.62921888247604,3,93.53242897145782,13.401062680362008,60.24234379005314,126.8225141528625,3,71.82951065923062,3.4518412306075357,63.254661683410035,80.40435963505121,3,0.9774279717611143,0.01008742773969271,0.9523694120986977,1.0024865314235307,3,543.5460408528646,36.71887045953822,452.3313100125809,634.7607716931483,3
SR,spikelora,0.5,low,82.72053260477539,43.09956185432439,-24.34471435614104,189.78577956569183,3,40.37752303162666,23.053536142828875,-16.890635489264106,97.64568155251743,3,192.347252420849,0.3391542877321001,191.5047464646023,193.1897583770957,3,0.9793283866057839,0.019802529490482185,0.9301361763110387,1.028520596900529,3,366.38941446940106,44.18131291328271,256.6369489082337,476.1418800305684,3
SR,spikelora,0.5,medium,122.34294954581894,16.193910050973802,82.11504688800073,162.57085220363714,3,80.92798435542461,9.434811492332404,57.49061332435672,104.3653553864925,3,86.47575268647999,0.8109380419698528,84.46127091455467,88.49023445840531,3,0.981346657149655,0.008072036210488272,0.9612946075888154,1.0013987067104946,3,516.2206319173177,39.79904290793799,417.35432853936464,615.0869352952709,3
WP,fullft,0.1,high,1022.5873929104526,58.91479132181935,876.2349380098337,1168.9398478110716,3,732.8887653410403,45.83050551236811,619.0394782505962,846.7380524314844,3,84.2137878644491,0.2531519400682212,83.58492358333066,84.84265214556754,3,0.9443651532388734,0.010583683664314248,0.9180738255194403,0.9706564809583065,3,3431.7194010416665,82.07825784849788,3227.8257054079722,3635.613096675361,3
WP,fullft,0.2,high,976.6957840794148,34.56671222193428,890.8273106787509,1062.5642574800786,3,714.618530815888,24.07342469243366,654.816828687173,774.420232944603,3,83.76697258984447,0.490354557349893,82.54886434181806,84.98508083787088,3,0.9573551211776468,0.0030988588175137866,0.9496571291257662,0.9650531132295274,3,3574.8646647135415,195.5132465832682,3089.1828357353224,4060.5464936917606,3
WP,fullft,0.5,high,982.7110232679523,34.93878357398587,895.9182733902067,1069.503773145698,3,720.339191040582,9.789683593951723,696.0202688390444,744.6581132421196,3,83.81932917707587,0.9754476111359408,81.39618298044634,86.2424753737054,3,0.9409108146309512,0.007911966707619266,0.9212563997586846,0.9605652295032178,3,3337.8436686197915,135.21267124869732,3001.956772868565,3673.730564371018,3
WP,lora,0.1,high,966.8915332151764,28.85060914313795,895.2226470366268,1038.560419393726,3,707.7546112257286,15.744771037322757,668.6424317295255,746.8667907219317,3,84.28311830161093,0.44276279773323063,83.18323453841535,85.3830020648065,3,0.9525355948564139,0.01564854971170925,0.913662442383839,0.9914087473289889,3,3410.2215983072915,143.0993692995325,3054.7430585070406,3765.7001381075424,3
WP,lora,0.2,high,998.3081245081895,14.420045041143853,962.4867468167896,1034.1295021995893,3,775.7674563833561,20.395842925745665,725.101373809203,826.4335389575093,3,84.18755573428552,0.2205762125018185,83.63961404650149,84.73549742206956,3,0.9526872823801152,0.01219466251037423,0.9223940613564021,0.9829805034038284,3,3552.880859375,154.72993297743685,3168.5103977339113,3937.2513210160887,3
WP,lora,0.5,high,989.6050023191023,38.375495248592365,894.2749873661597,1084.935017272045,3,722.0207925174009,24.218893819789002,661.8577250435316,782.1838599912702,3,83.62306438885568,0.7010790676027595,81.88148743812648,85.36464133958488,3,0.9368152514910193,0.012858763589829684,0.9048723119314371,0.9687581910506015,3,3290.3738606770835,69.65166566648584,3117.3495313108847,3463.3981900432823,3
WP,spikelora,0.1,high,970.8951773657355,41.22495501026598,868.4867119607921,1073.3036427706788,3,709.2620619726489,22.383880532937745,653.6574202061532,764.8667037391446,3,84.33847216035113,0.8575046132025925,82.20831261272109,86.46863170798117,3,0.9533629813493295,0.015972006384936652,0.913686317956683,0.993039644741976,3,3428.472900390625,295.4821929967064,2694.4544416259137,4162.491359155337,3
WP,spikelora,0.2,high,975.2492628043142,40.409011651402594,874.8677130677505,1075.630812540878,3,725.5412915770466,51.25429823451728,598.2185564449617,852.8640267091316,3,84.44667342460461,0.32638011281775264,83.63590027799876,85.25744657121047,3,0.9437721929189506,0.008497704719234703,0.9226627241628426,0.9648816616750587,3,3317.9561360677085,107.85514407411654,3050.0291052702505,3585.8831668651665,3
WP,spikelora,0.5,high,1015.4086243133514,9.078454921317762,992.85649207916,1037.9607565475428,3,741.5815681373616,12.393253427797042,710.7950199264734,772.3681163482498,3,83.77753999953849,0.5638122414265616,82.37695274828164,85.17812725079534,3,0.9381114903299204,0.01111494135991799,0.9105004453341967,0.965722535325644,3,3307.40771484375,139.3412849756186,2961.2647740363554,3653.5506556511446,3
WS,fullft,0.1,high,0.6989584519027344,0.0633908908299247,0.5414867494126218,0.8564301543928471,3,0.547908299612638,0.04923456670880074,0.4256028557311344,0.6702137434941415,3,32.57094813679917,2.1824797211399902,27.14936795645216,37.992528317146174,3,0.8756461744413552,0.026459722464907492,0.8099165800246456,0.9413757688580647,3,2.0982654094696045,0.04037362675962658,1.9979717606771268,2.198559058262082,3
WS,fullft,0.1,low,0.7559960919944197,0.007546618437723877,0.7372492525373118,0.7747429314515277,3,0.5882625014258488,0.008140329495776642,0.5680408019395671,0.6084842009121305,3,43.211008495174404,0.671153093746552,41.54377178466135,44.878245205687456,3,0.8322321224583048,0.015587008415369065,0.7935118470407966,0.870952397875813,3,2.0998993714650473,0.0415225622391031,1.9967516087196693,2.203047134210425,3
WS,fullft,0.1,medium,0.6650324258548964,0.029963334151054292,0.5905993775214082,0.7394654741883846,3,0.5256297340666035,0.02411377491365387,0.4657277964316792,0.5855316717015279,3,34.81359453973948,1.2592078727283995,31.68554877620072,37.94164030327825,3,0.8962758112094394,0.010028172461084795,0.8713644498192313,0.9211871725996476,3,2.099843422571818,0.04129745478930994,1.99725485773166,2.2024319874119755,3
WS,fullft,0.2,high,0.7291834688094313,0.0883551674203132,0.5096970653953371,0.9486698722235255,3,0.5644069961067234,0.06726635673969848,0.39730810259965815,0.7315058896137887,3,33.41474655985538,3.55477125540053,24.58420522777829,42.24528789193247,3,0.8581711461229533,0.03205672691039829,0.7785378218905381,0.9378044703553685,3,2.103563149770101,0.16630722845788543,1.6904330918263097,2.5166932077138924,3
